,Unnamed: 0,ID,Population,Labor Part.,Employment,Unemployment,YEAR,AGE,SEX2,HISPAN2,MIGRATE1,PERWT,Total_weighted
0,0,1003,135873,61.0,58.9,3.2,2007,22.0,0.4,0.9,10.0,2378.0,23780.0
1,1,1073,520153,62.6,58.0,7.2,2007,30.66666666666667,0.6666666666666666,1.0,3.0,899.0,2697.0
2,2,1081,104436,62.6,58.9,4.8,2007,37.857142857142854,0.2857142857142857,0.5714285714285714,7.0,479.0,3353.0
3,3,1097,310354,59.7,55.2,7.1,2007,31.5,0.1,0.4,10.0,1416.0,14160.0
4,4,1117,138992,70.1,66.9,4.4,2007,26.66666666666667,1.0,1.0,3.0,426.0,1278.0
5,5,4005,99127,70.2,67.1,4.4,2007,27.0,1.0,0.0,2.0,45.0,90.0
6,6,4013,2924958,65.9,62.2,5.2,2007,28.64732142857143,0.38392857142857145,0.39732142857142855,224.0,32826.0,7353024.0
7,7,4019,764508,59.6,55.3,6.1,2007,37.63333333333333,0.6,0.5333333333333333,30.0,4415.0,132450.0
8,8,4025,175343,55.9,53.0,4.6,2007,20.0,0.0,0.0,2.0,337.0,674.0
9,9,4027,141802,56.6,49.7,8.6,2007,62.05882352941178,0.4705882352941176,0.9411764705882352,17.0,1087.0,18479.0
10,10,5007,153482,64.5,60.3,6.3,2007,20.666666666666668,0.3333333333333333,0.3333333333333333,3.0,367.0,1101.0
11,11,5119,287259,67.0,61.4,7.2,2007,21.8,0.5,0.8,10.0,1516.0,15160.0
12,12,5143,147530,66.7,63.4,5.1,2007,37.0,0.4,0.4,5.0,281.0,1405.0
13,13,6001,1158957,65.4,61.1,6.2,2007,35.180952380952384,0.5714285714285714,0.8857142857142857,105.0,12962.0,1361010.0
14,14,6007,179147,58.4,51.9,11.0,2007,27.4,0.2,1.0,5.0,856.0,4280.0
15,15,6013,798917,65.3,61.3,6.0,2007,40.214285714285715,0.4642857142857143,0.8928571428571429,28.0,3054.0,85512.0
16,16,6017,142052,67.5,63.4,6.0,2007,26.0,1.0,1.0,1.0,70.0,70.0
17,17,6019,661386,63.1,57.4,8.9,2007,24.592592592592588,0.3333333333333333,0.2222222222222222,27.0,2713.0,73251.0
18,18,6023,106732,57.3,53.2,6.8,2007,26.33333333333333,0.6666666666666666,0.6666666666666666,3.0,247.0,741.0
19,19,6025,120149,49.8,44.9,9.6,2007,28.782608695652176,0.4782608695652174,0.43478260869565216,23.0,1529.0,35167.0
20,20,6029,581008,59.4,53.2,10.0,2007,26.91304347826087,0.2608695652173913,0.3043478260869565,23.0,3185.0,73255.0
22,22,6039,109401,58.0,52.7,9.0,2007,23.53333333333333,0.3333333333333333,0.3333333333333333,15.0,2581.0,38715.0
23,23,6041,205372,65.2,62.6,3.6,2007,29.066666666666666,0.6666666666666666,0.5333333333333333,15.0,2393.0,35895.0
24,24,6047,177934,61.5,53.9,12.3,2007,23.0,1.0,0.5,2.0,159.0,318.0
25,25,6055,107112,64.7,61.3,5.2,2007,19.666666666666668,0.5,0.0,6.0,580.0,3480.0
26,26,6059,2317920,66.8,63.4,4.9,2007,28.74096385542169,0.5,0.7530120481927711,166.0,18249.0,3029334.0
27,27,6061,268782,65.7,62.3,5.0,2007,26.0,0.4545454545454545,1.0,11.0,1086.0,11946.0
28,28,6065,1557958,63.1,57.9,7.8,2007,30.544117647058826,0.5,0.5588235294117647,68.0,7727.0,525436.0
29,29,6067,1065905,65.4,60.4,7.5,2007,34.884615384615394,0.6538461538461539,0.9230769230769232,26.0,2656.0,69056.0
30,30,6071,1482166,64.3,58.2,7.9,2007,34.142857142857146,0.4693877551020408,0.4693877551020408,49.0,6253.0,306397.0
31,31,6073,2319273,65.9,59.1,6.1,2007,29.71851851851852,0.5111111111111111,0.7407407407407407,135.0,15706.0,2120310.0
32,32,6075,665606,67.8,64.4,4.9,2007,32.20634920634921,0.492063492063492,0.9365079365079364,63.0,7350.0,463050.0
33,33,6077,498545,61.1,55.4,9.3,2007,26.93333333333333,0.4666666666666667,0.5,30.0,6155.0,184650.0
34,34,6079,219303,59.0,55.6,5.6,2007,32.333333333333336,0.3333333333333333,0.6666666666666666,3.0,406.0,1218.0
35,35,6081,566404,67.6,64.4,4.7,2007,32.78048780487805,0.6585365853658537,0.7560975609756098,41.0,4572.0,187452.0
36,36,6083,319812,63.3,59.2,5.8,2007,25.875,0.25,0.875,16.0,1820.0,29120.0
37,37,6085,1373588,66.2,62.5,5.4,2007,29.65269461077845,0.5269461077844312,0.8862275449101796,167.0,19354.0,3232118.0
38,38,6087,204457,68.3,63.8,6.7,2007,27.41666666666667,0.5833333333333334,0.5,12.0,2011.0,24132.0
39,39,6089,144826,58.6,54.8,6.3,2007,21.0,0.5,0.5,2.0,188.0,376.0
40,40,6095,317058,64.4,57.8,7.9,2007,36.86666666666667,0.43333333333333335,0.9,30.0,3236.0,97080.0
41,41,6097,374957,65.6,62.1,5.1,2007,25.2,0.3,0.9,10.0,1141.0,11410.0
42,42,6099,381686,61.4,55.2,10.0,2007,29.818181818181817,0.2727272727272727,0.2727272727272727,11.0,1617.0,17787.0
43,43,6107,301653,59.9,53.7,10.2,2007,31.33333333333333,0.3333333333333333,0.13333333333333333,15.0,1691.0,25365.0
44,44,6111,617341,66.5,62.3,5.6,2007,36.07692307692308,0.38461538461538464,0.3461538461538461,26.0,4237.0,110162.0
45,45,6113,157068,64.7,60.2,6.9,2007,27.92307692307693,0.38461538461538464,0.9230769230769232,13.0,1270.0,16510.0
46,46,8041,451040,70.8,61.4,6.6,2007,26.142857142857146,0.35714285714285715,0.5,14.0,2036.0,28504.0
47,47,8123,184191,71.5,68.4,4.3,2007,35.0,1.0,1.0,1.0,150.0,150.0
48,48,9001,697918,67.2,63.4,5.6,2007,27.48275862068965,0.7241379310344828,0.7241379310344828,29.0,3236.0,93844.0
49,49,9003,698870,67.7,63.1,6.6,2007,33.411764705882355,0.6470588235294118,0.7058823529411765,17.0,2100.0,35700.0
50,50,9005,152663,69.9,66.1,5.4,2007,16.0,0.5,0.25,4.0,710.0,2840.0
51,51,9007,132781,70.0,67.5,3.5,2007,31.0,0.5,1.0,2.0,287.0,574.0
52,52,9009,673407,67.3,62.6,6.9,2007,29.40909090909091,0.4090909090909091,0.8636363636363636,22.0,2541.0,55902.0
53,53,9011,214325,67.2,60.7,5.0,2007,23.42857142857143,0.8571428571428571,0.14285714285714285,7.0,1214.0,8498.0
54,54,9013,122078,68.8,65.6,4.6,2007,28.8,0.4,1.0,5.0,664.0,3320.0
55,55,9015,94744,71.2,65.9,7.4,2007,27.0,1.0,0.0,1.0,106.0,106.0
56,56,10001,117932,61.8,56.7,6.3,2007,51.66666666666666,0.6666666666666666,0.3333333333333333,3.0,302.0,906.0
57,57,10003,415829,67.6,63.8,5.4,2007,31.0,0.4761904761904762,0.8571428571428571,21.0,2272.0,47712.0
58,58,10005,149207,59.3,56.0,5.5,2007,14.636363636363635,0.2727272727272727,0.4545454545454545,11.0,431.0,4741.0
59,59,12001,199411,59.3,56.5,4.7,2007,35.5,0.25,0.875,8.0,754.0,6032.0
60,60,12005,129932,66.3,59.5,4.8,2007,35.0,0.0,0.0,1.0,47.0,47.0
61,61,12009,442461,59.2,55.0,6.5,2007,36.2,0.6,0.7333333333333333,15.0,1865.0,27975.0
62,62,12011,1394454,66.2,62.0,6.2,2007,36.9009900990099,0.5247524752475248,0.7128712871287128,101.0,11882.0,1200082.0
63,63,12015,132411,48.9,45.7,6.5,2007,44.0,0.5,0.3333333333333333,6.0,456.0,2736.0
64,64,12019,142303,68.5,62.1,7.4,2007,17.0,1.0,1.0,1.0,65.0,65.0
65,65,12021,256023,55.8,52.7,5.5,2007,39.8125,0.3125,0.8125,16.0,2980.0,47680.0
66,66,12033,245766,61.0,50.7,9.4,2007,15.333333333333336,0.3333333333333333,1.0,3.0,404.0,1212.0
67,67,12053,140216,51.9,47.5,8.3,2007,47.0,0.5,1.0,2.0,543.0,1086.0
68,68,12057,914832,67.7,62.8,6.7,2007,36.717948717948715,0.5128205128205128,0.7435897435897436,39.0,4083.0,159237.0
69,69,12069,248040,52.1,48.7,6.2,2007,49.75,0.5,1.0,4.0,420.0,1680.0
70,70,12071,479644,58.5,54.7,6.5,2007,30.52173913043478,0.5217391304347826,0.6086956521739131,23.0,2705.0,62215.0
71,71,12081,255448,58.1,54.6,5.9,2007,35.333333333333336,0.6,0.9333333333333332,15.0,1972.0,29580.0
72,72,12083,267108,52.0,48.5,6.6,2007,41.142857142857146,0.5714285714285714,0.5714285714285714,7.0,469.0,3283.0
73,73,12085,117492,57.5,52.9,7.8,2007,30.0,0.4615384615384616,0.6153846153846154,13.0,1536.0,19968.0
74,74,12091,143243,67.1,59.2,4.5,2007,18.0,0.0,0.0,1.0,70.0,70.0
75,75,12095,826673,70.1,65.9,5.8,2007,34.196078431372555,0.4901960784313725,0.6666666666666666,51.0,6722.0,342822.0
