ID,COUNTYFIPS,STATEFIP,YEAR,AGE,SEX2,HISPAN2,MIGRATE1,PERWT
06001,001,06,2011,30.827956989247312,0.5268817204301075,0.8709677419354839,93,9233
06001,001,06,2012,29.876106194690266,0.6283185840707964,0.9026548672566371,113,11699
09001,001,09,2011,28.95744680851064,0.6595744680851063,0.8936170212765957,47,5907
09001,001,09,2012,24.27777777777778,0.6388888888888888,0.8055555555555556,36,5864
10001,001,10,2011,53.5,0.5,1.0,2,222
10001,001,10,2012,24.0,0.5,1.0,2,159
12001,001,12,2011,27.666666666666668,0.6666666666666666,1.0,9,1229
12001,001,12,2012,24.82608695652174,0.43478260869565216,0.9565217391304348,23,1507
16001,001,16,2011,40.0,0.0,1.0,2,875
34001,001,34,2011,34.09090909090909,0.5454545454545454,0.36363636363636365,11,1562
35001,001,35,2011,27.77777777777778,0.2222222222222222,0.4444444444444444,18,3160
36001,001,36,2011,35.8,0.4,1.0,5,332
36001,001,36,2012,26.416666666666668,0.4166666666666667,1.0,12,1372
37001,001,37,2011,42.0,0.5,0.5,2,253
37001,001,37,2012,20.76923076923077,0.3076923076923077,0.9230769230769231,13,617
01003,003,01,2011,48.0,0.5,1.0,2,660
09003,003,09,2011,28.733333333333334,0.6,0.7333333333333333,15,1384
09003,003,09,2012,33.875,0.5,0.9375,16,1712
10003,003,10,2011,26.352941176470587,0.47058823529411764,0.8823529411764706,17,1602
10003,003,10,2012,29.38888888888889,0.6666666666666666,0.7777777777777778,18,1486
18003,003,18,2011,20.5,1.0,1.0,4,189
18003,003,18,2012,21.5,0.625,1.0,8,1145
24003,003,24,2011,31.0,1.0,1.0,1,262
24003,003,24,2012,30.636363636363637,0.6363636363636364,0.7272727272727273,11,1748
27003,003,27,2012,24.0,1.0,1.0,1,91
32003,003,32,2011,37.646153846153844,0.49230769230769234,0.6,65,6446
32003,003,32,2012,31.451612903225808,0.5967741935483871,0.6612903225806451,62,6313
34003,003,34,2011,33.0188679245283,0.660377358490566,0.8301886792452831,53,6102
34003,003,34,2012,36.958333333333336,0.5833333333333334,1.0,24,2349
42003,003,42,2011,27.545454545454547,0.5151515151515151,0.8484848484848485,33,4085
42003,003,42,2012,27.941176470588236,0.38235294117647056,0.9117647058823529,34,4880
44003,003,44,2011,28.2,0.8,0.8,5,626
44003,003,44,2012,41.25,0.5,0.5,4,684
04005,005,04,2012,22.0,0.6666666666666666,1.0,3,147
09005,005,09,2011,36.0,0.0,1.0,1,36
09005,005,09,2012,27.75,0.25,0.5,4,126
10005,005,10,2011,24.0,0.6666666666666666,0.3333333333333333,3,341
10005,005,10,2012,18.0,0.5,0.0,2,182
12005,005,12,2011,28.0,1.0,1.0,1,265
24005,005,24,2011,31.666666666666668,0.3333333333333333,0.7777777777777778,9,711
24005,005,24,2012,24.142857142857142,0.34285714285714286,0.8857142857142857,35,6772
26005,005,26,2012,3.0,1.0,1.0,1,34
34005,005,34,2011,29.733333333333334,0.4,0.6666666666666666,15,1385
34005,005,34,2012,38.0,0.7777777777777778,1.0,9,1262
36005,005,36,2011,33.02,0.48,0.56,50,5656
36005,005,36,2012,32.890625,0.546875,0.484375,64,9658
41005,005,41,2012,24.2,0.8,1.0,5,479
05007,007,05,2011,17.125,0.375,1.0,8,1666
05007,007,05,2012,30.833333333333332,0.3333333333333333,0.8333333333333334,6,823
06007,007,06,2011,23.333333333333332,0.0,0.6666666666666666,3,253
06007,007,06,2012,78.0,0.0,1.0,1,109
09007,007,09,2011,28.4,0.6,1.0,5,393
09007,007,09,2012,20.0,0.0,1.0,1,197
34007,007,34,2011,33.111111111111114,0.6666666666666666,0.6666666666666666,9,590
34007,007,34,2012,61.0,0.6,0.6,5,642
39007,007,39,2012,30.0,0.0,1.0,1,86
44007,007,44,2011,26.735294117647058,0.6764705882352942,0.7941176470588235,34,4245
44007,007,44,2012,31.96,0.56,0.68,25,3814
45007,007,45,2012,23.0,0.4,1.0,5,1212
09009,009,09,2011,32.8,0.36,1.0,25,2027
09009,009,09,2012,26.19148936170213,0.425531914893617,0.7872340425531915,47,5564
12009,009,12,2011,30.636363636363637,0.6363636363636364,0.9090909090909091,11,853
12009,009,12,2012,30.318181818181817,0.3181818181818182,0.8636363636363636,22,1797
25009,009,25,2011,35.523809523809526,0.6190476190476191,0.42857142857142855,21,2791
34009,009,34,2011,51.0,1.0,1.0,1,4
44009,009,44,2012,35.666666666666664,0.6666666666666666,0.6666666666666666,3,226
55009,009,55,2011,16.0,0.0,0.5,2,522
55009,009,55,2012,19.444444444444443,0.6666666666666666,0.0,9,1651
11010,010,11,2011,32.8,0.6,0.6,35,3624
11010,010,11,2012,30.725,0.5,0.85,40,4164
09011,011,09,2011,17.5,0.5,0.5,2,74
09011,011,09,2012,16.5,0.5,0.5,4,253
12011,011,12,2011,40.09473684210526,0.5473684210526316,0.6842105263157895,95,12327
12011,011,12,2012,44.73770491803279,0.5327868852459017,0.7213114754098361,122,15972
23011,011,23,2011,26.0,0.5,0.0,2,379
34011,011,34,2011,15.666666666666666,0.6666666666666666,1.0,3,352
42011,011,42,2011,71.0,1.0,0.0,1,174
42011,011,42,2012,21.0,0.2857142857142857,0.42857142857142855,7,522
49011,011,49,2012,17.0,0.3333333333333333,0.6666666666666666,3,147
53011,011,53,2011,33.166666666666664,0.5,0.8333333333333334,6,430
53011,011,53,2012,55.0,0.5,1.0,2,227
04013,013,04,2011,33.796875,0.4609375,0.796875,128,15698
04013,013,04,2012,38.91935483870968,0.4596774193548387,0.782258064516129,124,13965
06013,013,06,2011,35.829268292682926,0.4634146341463415,0.6341463414634146,41,8154
06013,013,06,2012,38.08,0.6,0.8,25,2814
09013,013,09,2011,25.444444444444443,0.5555555555555556,1.0,9,992
09013,013,09,2012,28.714285714285715,0.8571428571428571,1.0,7,542
19013,013,19,2011,25.333333333333332,0.6666666666666666,1.0,3,424
34013,013,34,2011,38.09090909090909,0.6060606060606061,0.8787878787878788,33,4350
34013,013,34,2012,34.18181818181818,0.5454545454545454,0.8636363636363636,22,2544
35013,013,35,2011,29.857142857142858,0.14285714285714285,0.14285714285714285,7,583
35013,013,35,2012,33.0,1.0,0.0,1,87
36013,013,36,2011,50.333333333333336,0.0,1.0,6,314
36013,013,36,2012,25.2,0.4,0.9,10,705
42013,013,42,2011,18.0,0.0,0.0,3,217
51013,013,51,2011,26.142857142857142,0.7619047619047619,0.7142857142857143,21,3808
51013,013,51,2012,29.095238095238095,0.47619047619047616,0.9047619047619048,21,3072
01015,015,01,2011,20.0,1.0,0.0,1,15
01015,015,01,2012,31.0,1.0,1.0,1,87
12015,015,12,2011,68.71428571428571,0.7142857142857143,0.8571428571428571,7,1784
12015,015,12,2012,52.57142857142857,0.42857142857142855,1.0,7,552
34015,015,34,2012,22.11111111111111,0.0,1.0,9,1566
45015,015,45,2011,48.5,0.5,1.0,2,262
06017,017,06,2011,38.5,0.5,1.0,4,938
12017,017,12,2012,33.0,1.0,0.0,1,61
22017,017,22,2011,25.0,0.0,0.0,2,108
22017,017,22,2012,66.0,1.0,1.0,1,541
24017,017,24,2011,26.0,1.0,0.0,1,50
24017,017,24,2012,78.5,0.5,1.0,2,181
33017,017,33,2011,23.25,0.75,1.0,8,771
34017,017,34,2011,27.130434782608695,0.5217391304347826,0.782608695652174,69,6761
34017,017,34,2012,26.875,0.6071428571428571,0.7321428571428571,56,5980
38017,017,38,2011,19.333333333333332,0.5555555555555556,1.0,9,2075
38017,017,38,2012,19.0,1.0,1.0,1,74
39017,017,39,2011,46.0,0.5,1.0,2,141
39017,017,39,2012,23.333333333333332,0.3333333333333333,1.0,3,188
41017,017,41,2012,43.0,1.0,1.0,1,123
42017,017,42,2011,66.5,0.5,1.0,2,170
42017,017,42,2012,26.142857142857142,0.5714285714285714,0.8571428571428571,7,687
04019,019,04,2011,33.97222222222222,0.5,0.6111111111111112,36,3404
04019,019,04,2012,35.885714285714286,0.5142857142857142,0.6,35,4029
06019,019,06,2011,29.833333333333332,0.4444444444444444,0.5,18,2232
06019,019,06,2012,39.916666666666664,0.16666666666666666,0.5,12,1588
12019,019,12,2012,23.0,0.0,0.0,1,17
17019,019,17,2011,26.705882352941178,0.5588235294117647,1.0,34,3337
17019,019,17,2012,25.848484848484848,0.45454545454545453,1.0,33,3212
18019,019,18,2012,20.0,1.0,1.0,1,103
22019,019,22,2011,29.5,1.0,1.0,2,316
23019,019,23,2012,25.0,0.5,1.0,2,258
29019,019,29,2011,23.0,0.5,0.5,2,187
29019,019,29,2012,25.625,0.5625,1.0,16,1953
34019,019,34,2011,49.5,0.0,1.0,2,145
41019,019,41,2011,17.0,0.0,1.0,1,85
42019,019,42,2011,22.0,0.375,1.0,8,1827
45019,019,45,2011,36.375,0.375,0.375,8,495
12021,021,12,2011,48.22222222222222,0.6666666666666666,0.6666666666666666,9,1944
12021,021,12,2012,33.53846153846154,0.6153846153846154,0.38461538461538464,13,2007
